date,portfolio_id,p05,p25,median,p75,p95
2027-06-11 01:04:00.000000000,Balanced,346309.7104920963,401652.3630664685,436527.7487865302,472042.5165980589,523298.70832389646
2027-06-12 11:50:51.428571428,Balanced,346283.1154150282,401438.07144827576,436508.31216295715,471829.9835141788,523915.6194309334
2027-06-13 22:37:42.857142860,Balanced,346485.5469801727,401621.03473403247,436511.6442051096,472568.4673412044,525212.0081241732
2027-06-15 09:24:34.285714288,Balanced,345769.3785161532,402033.4845439241,436223.70368889644,473444.3516685412,525574.440639522
2027-06-16 20:11:25.714285716,Balanced,346084.34665486903,401997.67833063315,437204.56266796356,473266.33546138514,525630.9583446142
2027-06-18 06:58:17.142857144,Balanced,346065.0525220896,402564.55051632546,437394.4734170094,473552.12586927926,526927.8907335626
2027-06-19 17:45:08.571428572,Balanced,345558.65100191423,402381.1218691069,437686.93610722886,473853.75718129135,527535.4313723806
2027-06-21 04:32:00.000000000,Balanced,345825.475611647,403178.41908622265,438126.97171483247,474253.1357343579,528194.155720324
2027-06-22 15:18:51.428571428,Balanced,346018.8848421915,403484.7643042838,438744.5480490577,474898.5903990658,528913.1038785751
2027-06-24 02:05:42.857142860,Balanced,345717.618650579,403828.83578071475,438917.1777939575,475155.3862262976,529527.1927862016
2027-06-25 12:52:34.285714288,Balanced,346660.5412466991,403775.96668591455,438968.23013912677,475692.9716408534,529946.9274666542
2027-06-26 23:39:25.714285716,Balanced,346626.81229211757,404052.1772394644,439050.5859204929,475910.1727855488,530114.0091983537
2027-06-28 10:26:17.142857144,Balanced,346436.47890851676,404151.1849471101,439431.2565426581,476883.72010786657,531306.3527269843
2027-06-29 21:13:08.571428572,Balanced,346064.0029364682,404075.67045829596,439743.8064207197,477349.46244700893,531535.0450000648
2027-07-01 08:00:00.000000000,Balanced,346510.7310310243,404043.23605904845,440421.24810259894,477740.76448758325,533084.5096280427
2027-07-02 18:46:51.428571428,Balanced,346434.43764801166,404046.6936801517,441061.14994327514,478200.9600519287,533528.5700012281
2027-07-04 05:33:42.857142860,Balanced,346406.6390757233,404539.71237747,441441.7882152043,478771.54124639946,534326.8111109483
2027-07-05 16:20:34.285714288,Balanced,346230.38671282824,404477.2232723738,441678.70907684497,479352.2242275794,535102.4455578354
2027-07-07 03:07:25.714285716,Balanced,345623.3962395563,404740.0768312918,442067.8326621646,480019.6539782755,535459.7173518115
2027-07-08 13:54:17.142857144,Balanced,344057.20056836697,405215.6953933617,442390.08490002714,480287.2592831085,535991.6339096575
